,f1,f2,f3,f4,f5,f6,f7,Timestamp
623,0.18040089086859687,0.1417004048582996,0.17735849056603775,0.23191489361702128,0.14751286449399656,0.1647727272727273,0.16304347826086957,2019-06-05 03:55:00
624,0.14031180400890866,0.12550607287449395,0.15283018867924528,0.18723404255319148,0.13036020583190394,0.1609848484848485,0.1782608695652174,2019-06-05 04:00:00
625,0.12472160356347439,0.1376518218623482,0.15283018867924528,0.18297872340425533,0.09433962264150944,0.1609848484848485,0.14782608695652175,2019-06-05 04:05:00
626,0.1358574610244989,0.1214574898785425,0.13962264150943396,0.25957446808510637,0.1732418524871355,0.18371212121212122,0.19130434782608696,2019-06-05 04:10:00
627,0.14476614699331847,0.13360323886639675,0.1339622641509434,0.17446808510638298,0.09948542024013722,0.1950757575757576,0.1891304347826087,2019-06-05 04:15:00
628,0.16481069042316257,0.11538461538461538,0.17547169811320756,0.23191489361702128,0.16466552315608918,0.17234848484848486,0.1891304347826087,2019-06-05 04:20:00
629,0.11581291759465479,0.10323886639676115,0.13018867924528302,0.2042553191489362,0.13722126929674097,0.16856060606060608,0.19999999999999998,2019-06-05 04:25:00
630,0.14699331848552338,0.1194331983805668,0.1471698113207547,0.21063829787234042,0.13379073756432247,0.19886363636363638,0.19130434782608696,2019-06-05 04:30:00
631,0.14922048997772827,0.13360323886639675,0.15660377358490565,0.23404255319148937,0.1509433962264151,0.1912878787878788,0.21521739130434783,2019-06-05 04:35:00
632,0.17149220489977726,0.17813765182186236,0.17358490566037738,0.2851063829787234,0.19382504288164665,0.2272727272727273,0.2326086956521739,2019-06-05 04:40:00
633,0.23830734966592426,0.15587044534412958,0.21509433962264152,0.27872340425531916,0.19382504288164665,0.25,0.24782608695652172,2019-06-05 04:45:00
634,0.24944320712694878,0.208502024291498,0.23962264150943396,0.2914893617021277,0.21097770154373927,0.25757575757575757,0.25434782608695655,2019-06-05 04:50:00
635,0.23608017817371935,0.17206477732793524,0.24339622641509434,0.2914893617021277,0.22298456260720412,0.24242424242424243,0.25869565217391305,2019-06-05 04:55:00
636,0.23162583518930957,0.21052631578947367,0.21132075471698114,0.3404255319148936,0.2401372212692967,0.23295454545454547,0.2521739130434783,2019-06-05 05:00:00
637,0.23162583518930957,0.19635627530364375,0.24528301886792453,0.2872340425531915,0.20754716981132074,0.29734848484848486,0.31521739130434784,2019-06-05 05:05:00
638,0.29175946547884185,0.27935222672064774,0.2660377358490566,0.35319148936170214,0.26586620926243565,0.27651515151515155,0.29347826086956524,2019-06-05 05:10:00
639,0.29398663697104677,0.27125506072874495,0.29056603773584905,0.39574468085106385,0.3241852487135506,0.32007575757575757,0.3130434782608696,2019-06-05 05:15:00
640,0.27616926503340755,0.20647773279352227,0.25849056603773585,0.3297872340425532,0.26586620926243565,0.33333333333333337,0.32608695652173914,2019-06-05 05:20:00
641,0.30512249443207123,0.29554655870445345,0.2830188679245283,0.3638297872340426,0.2950257289879931,0.321969696969697,0.341304347826087,2019-06-05 05:25:00
642,0.38084632516703787,0.3582995951417004,0.36226415094339626,0.4553191489361702,0.39279588336192106,0.39962121212121215,0.3760869565217392,2019-06-05 05:30:00
643,0.3741648106904231,0.34615384615384615,0.33962264150943394,0.4063829787234043,0.3276157804459691,0.3768939393939394,0.3891304347826087,2019-06-05 05:35:00
644,0.39198218262806234,0.3785425101214575,0.33584905660377357,0.44255319148936173,0.3979416809605489,0.4185606060606061,0.3847826086956522,2019-06-05 05:40:00
645,0.3897550111358574,0.3340080971659919,0.30943396226415093,0.41914893617021276,0.36192109777015435,0.36742424242424243,0.3456521739130435,2019-06-05 05:45:00
646,0.34075723830734966,0.2975708502024291,0.3264150943396226,0.3893617021276596,0.34133790737564323,0.3787878787878788,0.35652173913043483,2019-06-05 05:50:00
647,0.30957683741648107,0.25708502024291496,0.3018867924528302,0.32765957446808514,0.2607204116638079,0.33901515151515155,0.3130434782608696,2019-06-05 05:55:00
648,0.32516703786191536,0.3076923076923077,0.3433962264150944,0.36595744680851067,0.32075471698113206,0.3068181818181818,0.30434782608695654,2019-06-05 06:00:00
649,0.36302895322939865,0.35020242914979755,0.38301886792452833,0.4297872340425532,0.40308747855917665,0.331439393939394,0.3130434782608696,2019-06-05 06:05:00
650,0.39198218262806234,0.340080971659919,0.37735849056603776,0.4085106382978724,0.3361921097770154,0.3787878787878788,0.35434782608695653,2019-06-05 06:10:00
651,0.41648106904231624,0.40283400809716596,0.36037735849056607,0.46170212765957447,0.38250428816466553,0.3484848484848485,0.3239130434782609,2019-06-05 06:15:00
652,0.35634743875278396,0.3522267206477733,0.3113207547169811,0.4021276595744681,0.3670668953687821,0.2935606060606061,0.2782608695652174,2019-06-05 06:20:00
653,0.35634743875278396,0.32591093117408904,0.34905660377358494,0.46808510638297873,0.42195540308747853,0.34280303030303033,0.34347826086956523,2019-06-05 06:25:00
654,0.42316258351893093,0.3765182186234818,0.4358490566037736,0.46382978723404256,0.38593481989708406,0.3068181818181818,0.3021739130434783,2019-06-05 06:30:00
655,0.40311804008908686,0.4271255060728745,0.4490566037735849,0.42340425531914894,0.3996569468267581,0.3522727272727273,0.33260869565217394,2019-06-05 06:35:00
656,0.4120267260579064,0.3866396761133603,0.4641509433962264,0.5851063829787234,0.5368782161234992,0.3768939393939394,0.36739130434782613,2019-06-05 06:40:00
657,0.532293986636971,0.5323886639676113,0.4490566037735849,0.46170212765957447,0.41852487135506,0.3731060606060606,0.3695652173913044,2019-06-05 06:45:00
658,0.5256124721603563,0.5647773279352226,0.6037735849056604,0.5787234042553192,0.5591766723842196,0.42992424242424243,0.40217391304347827,2019-06-05 06:50:00
659,0.5412026726057906,0.46356275303643724,0.49056603773584906,0.5191489361702127,0.5025728987993139,0.446969696969697,0.40869565217391307,2019-06-05 06:55:00
660,0.40089086859688194,0.3846153846153846,0.41509433962264153,0.451063829787234,0.38250428816466553,0.2935606060606061,0.2782608695652174,2019-06-05 07:00:00
661,0.5033407572383073,0.4615384615384615,0.4528301886792453,0.5234042553191489,0.4596912521440823,0.3181818181818182,0.3173913043478261,2019-06-05 07:05:00
662,0.4788418708240534,0.46356275303643724,0.5132075471698113,0.5382978723404256,0.49742710120068606,0.4147727272727273,0.3739130434782609,2019-06-05 07:10:00
663,0.5278396436525612,0.49797570850202433,0.469811320754717,0.48723404255319147,0.4528301886792453,0.42992424242424243,0.4065217391304348,2019-06-05 07:15:00
664,0.5278396436525612,0.4331983805668016,0.5566037735849056,0.5957446808510638,0.5660377358490566,0.3787878787878788,0.3804347826086957,2019-06-05 07:20:00
665,0.4855233853006681,0.4736842105263158,0.4962264150943396,0.6148936170212767,0.5746140651801029,0.36742424242424243,0.3869565217391305,2019-06-05 07:25:00
666,0.6369710467706013,0.548582995951417,0.5433962264150943,0.597872340425532,0.5557461406518011,0.4412878787878788,0.3978260869565218,2019-06-05 07:30:00
667,0.6458797327394209,0.6700404858299596,0.630188679245283,0.6638297872340425,0.6157804459691253,0.4696969696969697,0.40869565217391307,2019-06-05 07:35:00
668,0.6971046770601336,0.6882591093117408,0.709433962264151,0.8042553191489362,0.79073756432247,0.5303030303030303,0.4891304347826087,2019-06-05 07:40:00
669,0.643652561247216,0.6376518218623481,0.6528301886792452,0.6893617021276596,0.679245283018868,0.5511363636363636,0.5108695652173912,2019-06-05 07:45:00
670,0.5879732739420935,0.6012145748987854,0.6188679245283019,0.7000000000000001,0.679245283018868,0.4772727272727273,0.4565217391304348,2019-06-05 07:50:00
671,0.5300668151447662,0.5182186234817814,0.5528301886792453,0.5680851063829787,0.5626072041166381,0.46590909090909094,0.4608695652173913,2019-06-05 07:55:00
672,0.5077951002227171,0.4655870445344129,0.4811320754716981,0.5723404255319149,0.548885077186964,0.4962121212121212,0.4608695652173913,2019-06-05 08:00:00
673,0.46993318485523383,0.4331983805668016,0.5,0.574468085106383,0.5214408233276158,0.4185606060606061,0.4217391304347826,2019-06-05 08:05:00
674,0.41870824053452116,0.5121457489878543,0.5056603773584906,0.5851063829787234,0.5506003430531733,0.4450757575757576,0.44347826086956527,2019-06-05 08:10:00
675,0.49888641425389757,0.4757085020242915,0.5132075471698113,0.5680851063829787,0.5145797598627788,0.4412878787878788,0.3956521739130435,2019-06-05 08:15:00
676,0.6280623608017817,0.5566801619433198,0.5924528301886792,0.6212765957446809,0.5711835334476845,0.4109848484848485,0.42608695652173917,2019-06-05 08:20:00
677,0.5902004454342984,0.597165991902834,0.5622641509433962,0.6276595744680851,0.6243567753001715,0.571969696969697,0.48260869565217396,2019-06-05 08:25:00
678,0.4788418708240534,0.5080971659919028,0.5528301886792453,0.6085106382978723,0.5608919382504288,0.4147727272727273,0.40869565217391307,2019-06-05 08:30:00
679,0.5144766146993318,0.5242914979757085,0.5283018867924528,0.6148936170212767,0.5728987993138936,0.46590909090909094,0.45869565217391306,2019-06-05 08:35:00
680,0.5590200445434298,0.5647773279352226,0.4981132075471698,0.5617021276595745,0.5368782161234992,0.4450757575757576,0.45869565217391306,2019-06-05 08:40:00
681,0.6035634743875278,0.6153846153846154,0.6339622641509434,0.6468085106382979,0.6689536878216124,0.5549242424242424,0.5108695652173912,2019-06-05 08:45:00
682,0.5434298440979956,0.47975708502024295,0.5075471698113208,0.551063829787234,0.5300171526586621,0.5454545454545455,0.5304347826086956,2019-06-05 08:50:00
683,0.5478841870824053,0.5344129554655871,0.5433962264150943,0.5638297872340425,0.5265866209262436,0.42803030303030304,0.4173913043478261,2019-06-05 08:55:00
684,0.5367483296213809,0.4919028340080972,0.5207547169811321,0.5297872340425532,0.5042881646655232,0.4905303030303031,0.45,2019-06-05 09:00:00
685,0.40757238307349664,0.4149797570850202,0.43018867924528303,0.5787234042553192,0.5591766723842196,0.4185606060606061,0.3956521739130435,2019-06-05 09:05:00
686,0.4788418708240534,0.5,0.4867924528301887,0.5021276595744681,0.379073756432247,0.393939393939394,0.3804347826086957,2019-06-05 09:10:00
687,0.45657015590200445,0.5060728744939271,0.45660377358490567,0.5702127659574469,0.5111492281303602,0.42045454545454547,0.40869565217391307,2019-06-05 09:15:00
688,0.5233853006681515,0.5080971659919028,0.49056603773584906,0.5765957446808511,0.5248713550600344,0.4318181818181818,0.42608695652173917,2019-06-05 09:20:00
689,0.4832962138084632,0.47165991902834004,0.46037735849056605,0.5042553191489362,0.4751286449399657,0.4526515151515152,0.43695652173913047,2019-06-05 09:25:00
690,0.5478841870824053,0.5445344129554656,0.5754716981132075,0.5617021276595745,0.5197255574614066,0.46780303030303033,0.45434782608695656,2019-06-05 09:30:00
691,0.4855233853006681,0.39271255060728744,0.42641509433962266,0.5468085106382978,0.48370497427101194,0.4696969696969697,0.4456521739130435,2019-06-05 09:35:00
692,0.5701559020044543,0.6032388663967612,0.5716981132075472,0.6042553191489362,0.5677530017152659,0.3920454545454546,0.41304347826086957,2019-06-05 09:40:00
693,0.512249443207127,0.5141700404858299,0.5641509433962264,0.5595744680851064,0.5694682675814752,0.49810606060606066,0.5108695652173912,2019-06-05 09:45:00
694,0.4855233853006681,0.47773279352226716,0.44339622641509435,0.5404255319148936,0.5008576329331047,0.46212121212121215,0.46956521739130436,2019-06-05 09:50:00
695,0.4721603563474387,0.4534412955465587,0.4358490566037736,0.5361702127659574,0.4751286449399657,0.4356060606060606,0.46521739130434786,2019-06-05 09:55:00
